Fundos;Setor;Liquidez Diária (R$);P/VP;Dividend Yield;Variação de Preço;Patrimônio Líquido;Num. Cotistas
BRIM11;FUNDO DE DESENVOLVIMENTO;20.016,50;3,15;17,75 %;-7,27 %;10.853.886,11;709
BRIP11;FUNDO DE DESENVOLVIMENTO;10.775,00;0,75;6,19 %;0,00 %;119.752.387,50;421
BRIX11;INDEFINIDO;195.781,00;1,49;0,00 %;0,00 %;133.780.649,39;103
BRLA11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;21.194,28;0,84;0,78 %;4,99 %;815.145.198,38;435
BROF11;LAJES CORPORATIVAS;567.057,90;0,55;0,93 %;5,96 %;1.278.987.378,80;10.486
BRZP11;N/A;966.944,60;N/A;0,50 %;5,98 %;N/A;0
BTAG11;INDEFINIDO;107.842,25;0,97;1,23 %;-4,30 %;47.711.114,43;2.895
BTAL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;764.584,30;0,77;1,09 %;2,44 %;693.765.025,57;38.037
BTCI11;PAPÉIS;2.797.956,75;0,92;0,99 %;0,11 %;1.006.839.692,63;203.083
BTCR11;PAPÉIS;571.148,00;1,38;0,98 %;-5,96 %;118.155.565,38;8.102
BTHF11;PAPÉIS;5.238.751,10;0,94;1,07 %;6,18 %;2.081.014.595,39;315.691
BTHI11;HOTÉIS;48.097,90;0,67;0,68 %;-1,40 %;600.036.051,92;1.697
BTHR11;HOTÉIS;N/A;N/A;0,00 %;0,00 %;339.305.070,75;24
BTLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;16.774.612,60;0,99;0,78 %;-0,40 %;5.519.728.742,96;451.524
BTML11;LAJES CORPORATIVAS;N/A;0,80;0,00 %;0,00 %;144.584.994,58;1
BTRA11;FAZENDAS;375.444,60;0,52;1,23 %;7,15 %;376.363.788,90;11.922
BTSG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;146,00;0,94;0,00 %;0,00 %;120.950.379,37;106
