Fundos;Setor;Liquidez Diária (R$);P/VP;Dividend Yield;Variação de Preço;Patrimônio Líquido;Num. Cotistas
KFOF11;FUNDO DE FUNDOS;1.590.399,40;0,90;0,92 %;-0,11 %;660.287.769,63;30.314
KINP11;FUNDO DE DESENVOLVIMENTO;38.394,20;0,16;0,00 %;0,00 %;118.155.565,38;8.102
KISU11;FUNDO DE FUNDOS;658.772,10;0,84;0,99 %;1,87 %;372.595.623,95;102.782
KIVO11;PAPÉIS;429.280,30;0,79;1,64 %;7,01 %;190.279.304,85;6.912
KNCA11;INDEFINIDO;3.628.037,70;0,95;1,10 %;2,77 %;2.195.303.553,45;83.243
KNCR11;PAPÉIS;20.819.060,25;1,04;1,12 %;-0,52 %;10.381.050.207,72;497.709
KNHF11;INDEFINIDO;4.610.504,90;0,97;1,01 %;3,36 %;1.987.081.877,35;60.087
KNHY11;PAPÉIS;4.328.246,15;1,01;0,96 %;-0,46 %;3.087.504.153,73;28.050
KNIP11;PAPÉIS;8.472.474,75;0,98;0,76 %;1,40 %;7.454.825.543,59;71.117
KNOX11;FIP-IE;363.157,85;N/A;2,77 %;3,59 %;N/A;0
KNPR11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;58.044.496,51;594
KNRE11;FUNDO DE DESENVOLVIMENTO;2.772,40;0,54;0,39 %;18,52 %;11.735.257,45;5.599
KNRI11;MISTO;6.708.623,20;1,01;0,53 %;7,67 %;4.622.495.428,16;305.827
KNSC11;PAPÉIS;5.940.461,00;1,03;0,98 %;4,09 %;1.778.215.373,83;256.013
KNUQ11;INDEFINIDO;5.129.321,80;1,04;1,23 %;0,14 %;2.178.960.704,85;49.101
KOPA11;INDEFINIDO;340.372,10;0,97;2,48 %;-12,48 %;220.414.507,79;3.364
KORE11;LAJES CORPORATIVAS;4.057.070,70;0,69;0,80 %;0,36 %;1.021.195.946,43;28.355
KRES11;MISTO;N/A;N/A;0,00 %;0,00 %;239.726.659,52;131
LAFI11;MISTO;3.133,50;1,03;0,00 %;0,00 %;87.990.625,08;1.268
LASC11;SHOPPINGS;7.866.760,00;0,86;0,67 %;3,21 %;387.970.605,22;540
LAVF11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;118.155.565,38;8.102
LFTT11;PAPÉIS;598.719,00;0,05;0,00 %;0,00 %;30.977.134,19;8
LIFE11;IMÓVEIS COMERCIAIS - OUTROS;1.006.204,50;0,90;1,34 %;4,81 %;396.710.585,75;19.601
LKDV11;PAPÉIS;765.465,00;0,98;0,00 %;0,00 %;73.593.293,39;101
LLAO11;MISTO;57,00;1,11;11,32 %;-2,11 %;18.538.748,42;78
LOFT11B;FUNDO DE DESENVOLVIMENTO;N/A;299,00;0,00 %;0,00 %;189.569,25;8
LPLP11;INDEFINIDO;2.323,93;0,99;0,05 %;42,86 %;231.881.277,79;40
LRDI11;INDEFINIDO;4.316,22;48,53;0,00 %;0,00 %;593.569,83;128
LSAG11;INDEFINIDO;159.407,60;0,90;1,17 %;6,12 %;99.178.472,11;2.635
LSOI11;MISTO;2.666.669,17;0,91;0,00 %;0,00 %;70.688.222,31;41
LSPA11;PAPÉIS;453,61;1,15;86,84 %;0,00 %;8.473.824,04;727
LTMT11;IMÓVEIS RESIDENCIAIS;27.934,00;1,05;8,80 %;0,00 %;14.638.146,65;224
LUGG11;IMÓVEIS RESIDENCIAIS;23.956,00;0,55;0,88 %;-3,20 %;132.968.746,75;7.962
LVBI11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;3.622.083,80;0,91;0,67 %;-0,67 %;1.939.758.402,68;123.553
MANA11;INDEFINIDO;1.296.768,65;0,98;1,17 %;1,84 %;354.929.241,49;35.307
MATV11;INDEFINIDO;13.027,43;1,36;0,73 %;-1,41 %;118.155.565,38;8.102
MAXR11;VAREJO;381.963,90;0,67;0,85 %;3,19 %;104.932.239,66;3.836
MBRF11;LAJES CORPORATIVAS;N/A;N/A;0,00 %;0,00 %;N/A;0
MCCI11;PAPÉIS;5.835.055,00;0,98;1,09 %;4,76 %;1.622.624.386,69;115.648
MCEM11;SHOPPINGS;49.014,00;1,87;1,07 %;0,00 %;115.161.716,90;214
MCHF11;PAPÉIS;1.778.820,09;0,14;0,00 %;0,00 %;118.155.565,38;8.102
MCHY11;PAPÉIS;4.789.731,61;0,72;1,39 %;-12,22 %;1.060.212.799,64;93.666
MCLO11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;680.038,32;0,73;0,94 %;1,20 %;1.707.269.495,82;228
MCRE11;PAPÉIS;3.579.664,10;0,93;1,14 %;-0,82 %;1.161.733.177,52;88.528
MFAI11;FUNDO DE FUNDOS;11.326,82;0,99;48,84 %;2,66 %;27.463.042,22;2.301
MFII11;FUNDO DE DESENVOLVIMENTO;1.850.447,10;0,79;1,30 %;5,22 %;660.593.212,39;32.407
MGCR11;PAPÉIS;259.145,59;0,15;0,00 %;0,00 %;118.155.565,38;8.102
MGFF11;FUNDO DE FUNDOS;2.558.695,75;1,10;0,00 %;0,00 %;118.155.565,38;8.102
MGHT11;HOTÉIS;10.087,75;0,64;0,42 %;-14,42 %;30.298.567,95;3.571
MGLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;55.314,19;0,55;0,86 %;-3,60 %;116.088.485,68;3.712
MGRI11;INDEFINIDO;N/A;1,11;0,00 %;0,00 %;15.753.448,57;2
MINT11;EDUCACIONAL;2.171,20;0,99;15,20 %;-5,85 %;50.527.673,91;94
MMPD11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;59.260.693,66;102
MORE11;FUNDO DE FUNDOS;1.327.577,67;1,19;0,00 %;0,00 %;118.155.565,38;8.102
MXRF11;PAPÉIS;18.217.550,10;1,05;1,04 %;0,84 %;4.356.171.528,14;1.389.786
NAUI11;OUTROS;2.327.600,00;1,99;17,45 %;0,00 %;28.595.460,40;110
NAVT11;PAPÉIS;54.545,20;0,85;1,68 %;4,32 %;55.209.192,82;2.362
NCHB11;PAPÉIS;63.111,70;0,82;1,34 %;11,10 %;148.979.591,77;11.451
NCRI11;PAPÉIS;4.677,50;0,87;1,11 %;0,11 %;39.575.075,09;1.290
NELO11;LOGÍSTICA;N/A;N/A;0,00 %;0,00 %;391.234.276,23;2
NEWL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;6.836.239,25;0,89;0,85 %;1,78 %;367.481.120,99;9.720
NEWU11;LAJES CORPORATIVAS;13.838,13;1,29;0,23 %;1,91 %;61.037.190,96;1.055
NEXG11;AGRICULTURA;456.548,40;1,28;0,69 %;0,55 %;124.858.712,34;669
NSLU11;HOSPITALAR;138.794,20;1,20;0,83 %;-3,68 %;224.929.403,08;5.197
NUIF11;INDEFINIDO;245.373,25;N/A;1,15 %;3,19 %;N/A;0
NVHO11;HOSPITALAR;20.348,20;0,72;0,79 %;-8,79 %;686.598.261,05;1.731
NVIF11;FUNDO DE DESENVOLVIMENTO;N/A;0,67;0,00 %;0,00 %;115.045.746,19;7
NVIF11B;FUNDO DE DESENVOLVIMENTO;N/A;0,86;0,00 %;0,00 %;88.829.544,94;7
NVRP11;INDEFINIDO;13.600,00;N/A;0,00 %;0,00 %;N/A;0
OBAL11;IMÓVEIS RESIDENCIAIS;1.095,00;0,78;0,00 %;0,00 %;198.796.007,84;108
OCRE11;PAPÉIS;19.656,32;0,51;0,53 %;17,67 %;67.728.867,42;460
OGHY11;INDEFINIDO;22.847,10;0,14;0,00 %;0,00 %;118.155.565,38;8.102
OGIN11;MISTO;49.398,15;N/A;1,22 %;5,12 %;N/A;0
OIAG11;INDEFINIDO;189.976,65;0,95;1,27 %;6,07 %;87.706.556,33;13.544
ONDV11;EXPLORAÇÃO DE IMÓVEIS;5.317,50;0,72;1,22 %;0,00 %;100.838.108,98;393
ONEF11;LAJES CORPORATIVAS;114.431,47;3,13;0,00 %;0,00 %;118.155.565,38;8.102
OPTM11;MISTO;N/A;N/A;0,00 %;0,00 %;5.132.611,47;14
ORPD11;FUNDO DE DESENVOLVIMENTO;402,75;0,66;0,00 %;0,00 %;40.847.491,62;6
OUFF11;FUNDO DE FUNDOS;264.340,11;0,96;1,25 %;-1,44 %;118.155.565,38;8.102
OUJP11;PAPÉIS;665.172,80;0,83;1,19 %;12,23 %;329.847.779,77;26.062
OULG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;2.674,00;0,85;60,07 %;7,76 %;70.257.077,08;3.018
OURE11;MISTO;224.923,68;1,23;1,39 %;3,84 %;118.155.565,38;8.102
PABY11;FUNDO DE DESENVOLVIMENTO;916,50;0,23;N/A;N/A;-25.221.266,07;501
PATA11;MISTO;20.761,65;0,96;0,61 %;0,39 %;17.240.246,71;354
PATB11;LAJES CORPORATIVAS;N/A;N/A;0,00 %;0,00 %;843.716.726,11;1
PATC11;FUNDO DE DESENVOLVIMENTO;61.619,65;1,16;0,12 %;-2,10 %;119.236.076,84;4.590
PATL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.123.078,50;0,75;0,85 %;1,03 %;445.341.073,96;27.129
PCAS11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;262.799.972,57;100
PCIP11;PAPÉIS;4.593.370,05;0,90;0,97 %;0,70 %;1.580.648.458,95;113.201
PDBM11;SHOPPINGS;115,00;1,01;0,00 %;0,00 %;38.568.046,46;121
PEMA11;PAPÉIS;3.420,36;0,56;0,75 %;0,00 %;31.739.202,19;291
PFIN11;INDEFINIDO;1.477.227,20;N/A;1,09 %;7,13 %;N/A;0
PICE11;INDEFINIDO;104.539,50;N/A;1,39 %;6,04 %;N/A;0
PLAG11;INDEFINIDO;11.334.712,60;0,93;0,82 %;13,36 %;363.336.051,46;14.502
PLCA11;INDEFINIDO;99.966,55;0,82;1,28 %;13,18 %;53.849.437,29;2.433
PLCR11;PAPÉIS;864.020,00;0,94;0,00 %;0,00 %;175.914.246,15;14.034
PLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;70.165,04;0,63;0,99 %;2,01 %;79.648.071,76;3.284
PLRI11;PAPÉIS;3.360,15;0,41;2,14 %;-6,16 %;13.879.539,04;790
PMFO11;MISTO;74.989,75;0,99;0,00 %;0,00 %;89.730.578,08;197
PMIS11;MISTO;239.568,60;0,88;1,08 %;-3,75 %;139.542.314,39;6.702
PMLL11;SHOPPINGS;5.223.339,55;0,90;0,94 %;1,05 %;1.652.812.716,90;127.948
PNCR11;IMÓVEIS RESIDENCIAIS;350.700,00;0,98;0,00 %;0,00 %;23.037.047,12;112
PNDL11;FUNDO DE DESENVOLVIMENTO;38.680.800,00;1,19;0,00 %;0,00 %;145.021.247,08;50
PNPR11;FUNDO DE DESENVOLVIMENTO;5.000.064,00;1,32;25,23 %;0,00 %;32.692.830,57;16
PNRC11;INDEFINIDO;61,00;5,96;0,00 %;0,00 %;4.196.318,25;103
PORD11;PAPÉIS;942.438,20;0,85;1,22 %;0,74 %;356.108.225,50;46.634
PPEI11;INDEFINIDO;331.053,25;N/A;1,20 %;-1,55 %;N/A;0
PQAG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.104,94;0,98;0,87 %;-1,55 %;775.528.672,25;483
PQDP11;SHOPPINGS;211.675,95;54,66;0,65 %;-1,79 %;635.110.455,63;3.166
PRIF11;INDEFINIDO;82.158,72;N/A;0,00 %;0,00 %;N/A;0
PRSV11;LAJES CORPORATIVAS;23.547,35;0,28;0,00 %;0,00 %;29.576.576,23;790
PRTS11;SHOPPINGS;3.880.575.023,70;272,63;0,00 %;0,00 %;118.155.565,38;8.102
PSEC11;FUNDO DE FUNDOS;3.162.739,90;0,83;1,01 %;-0,28 %;1.400.215.464,61;82.421
PULV11;PAPÉIS;61.949,00;0,87;0,00 %;0,00 %;120.562.664,39;972
PVBI11;LAJES CORPORATIVAS;7.040.964,40;0,74;0,54 %;1,80 %;2.928.324.176,15;171.617
QAMI11;PAPÉIS;67.019,00;1,33;1,17 %;6,69 %;118.155.565,38;8.102
QIRI11;PAPÉIS;6.867,57;1,22;0,00 %;0,00 %;118.155.565,38;8.102
QNTS11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;243.102.842,27;136
RBCO11;LAJES CORPORATIVAS;N/A;N/A;0,00 %;0,00 %;N/A;0
RBDS11;FUNDO DE DESENVOLVIMENTO;231,29;0,11;12,63 %;0,00 %;2.382.864,30;805
RBFF11;FUNDO DE FUNDOS;404.215,20;0,81;0,00 %;0,00 %;246.824.698,52;25.342
RBFY11;IMÓVEIS RESIDENCIAIS;3.360,75;0,76;0,00 %;0,00 %;92.020.176,60;84
RBGS11;SHOPPINGS;N/A;0,45;0,62 %;-1,90 %;118.155.565,38;8.102
RBHG11;PAPÉIS;204.448,90;0,80;1,15 %;4,53 %;187.841.207,55;7.830
RBHY11;PAPÉIS;370.208,10;0,86;1,31 %;3,72 %;175.627.987,98;3.429
RBIF11;INDEFINIDO;272.832,10;N/A;1,22 %;3,46 %;N/A;0
RBIR11;FUNDO DE DESENVOLVIMENTO;229.645,65;1,05;2,84 %;0,14 %;132.766.535,36;1.520
RBLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;722,22;0,88;0,00 %;0,00 %;42.119.441,23;238
RBOP11;LAJES CORPORATIVAS;13.202,75;0,28;0,27 %;-5,14 %;75.299.675,11;2.686
RBRD11;VAREJO;143.041,70;0,64;1,33 %;-0,60 %;120.054.419,87;7.519
RBRF11;FUNDO DE FUNDOS;2.739.709,00;0,76;0,00 %;0,00 %;1.172.603.582,62;111.834
RBRI11;FUNDO DE DESENVOLVIMENTO;3.206,00;1,34;0,00 %;0,00 %;67.763.463,84;136
RBRL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.449.699,20;0,89;0,80 %;0,90 %;683.820.593,22;15.952
RBRM11;FUNDO DE DESENVOLVIMENTO;N/A;17,88;0,00 %;0,00 %;2.860.101,93;54
RBRP11;LAJES CORPORATIVAS;6.551.852,55;0,66;0,73 %;-0,22 %;999.353.142,76;57.080
RBRR11;PAPÉIS;6.109.566,80;0,93;0,94 %;-2,41 %;1.512.540.596,20;136.021
RBRS11;FUNDO DE DESENVOLVIMENTO;15.039,56;0,38;0,33 %;-9,34 %;73.075.666,34;908
RBRX11;INDEFINIDO;5.700.826,75;0,88;1,08 %;3,33 %;1.419.327.066,03;117.613
RBRY11;PAPÉIS;6.822.890,30;1,03;1,18 %;-1,65 %;1.275.757.075,36;72.016
RBTS11;FUNDO DE DESENVOLVIMENTO;99,11;1,05;1,84 %;0,00 %;15.815.466,83;127
RBVA11;VAREJO;2.340.187,45;0,92;0,90 %;-3,66 %;1.674.994.889,34;91.071
RBVO11;PAPÉIS;1.143,43;0,95;106,30 %;-80,93 %;2.882.596,37;6.943
RCFF11;FUNDO DE FUNDOS;40,82;0,91;0,00 %;0,00 %;31.813.598,44;128
RCRB11;LAJES CORPORATIVAS;1.112.642,65;0,71;0,75 %;0,62 %;735.960.800,38;24.658
RDCI11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;251.184.400,01;128
RDIV11;OUTROS;7.735.786,00;1,18;0,00 %;0,00 %;221.911.297,87;141
RDLI11;LAJES CORPORATIVAS;1.156,77;0,79;14,11 %;13,99 %;211.962.217,28;239
RECD11;PAPÉIS;1.327,37;1,12;0,94 %;-11,00 %;37.531.915,67;424
RECM11;PAPÉIS;24.538,20;0,92;1,18 %;-2,64 %;77.832.869,49;880
RECR11;PAPÉIS;3.558.997,95;0,91;0,99 %;0,30 %;2.346.650.708,80;173.679
RECT11;LAJES CORPORATIVAS;839.309,10;0,43;1,16 %;-0,44 %;766.574.199,64;49.321
REIT11;PAPÉIS;120,83;0,33;0,00 %;0,00 %;7.916.791,81;62
RELG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;122.872,40;0,76;1,23 %;-1,14 %;114.013.451,14;4.103
RENV11;SERVIÇOS FINANCEIROS DIVERSOS;12.874,05;0,52;1,14 %;0,43 %;14.667.292,22;678
RFOF11;FUNDO DE FUNDOS;173.508,00;0,87;0,00 %;0,00 %;56.371.251,78;3.284
RIFF11;INDEFINIDO;291.197,30;N/A;0,08 %;-1,50 %;N/A;0
RINV11;INDEFINIDO;618.759,65;0,99;0,99 %;2,07 %;433.434.266,99;4.224
RMAI11;LAJES CORPORATIVAS;42.751,50;0,34;0,00 %;0,00 %;560.577.455,58;1.095
RNDP11;PAPÉIS;14.794,00;1,01;99,67 %;-5,64 %;4.329.855,96;1.292
RNGO11;LAJES CORPORATIVAS;90.099,00;0,64;0,92 %;1,42 %;223.034.610,02;6.892
ROOF11;FUNDO DE DESENVOLVIMENTO;350,00;1,17;0,00 %;0,00 %;23.180.810,88;80
RPRI11;PAPÉIS;401.771,95;0,87;1,00 %;5,52 %;348.988.500,73;4.459
RSPD11;FUNDO DE DESENVOLVIMENTO;244.263,61;1,02;11,25 %;-4,76 %;117.397.266,36;195
RURA11;INDEFINIDO;2.757.605,15;0,88;1,35 %;1,02 %;1.651.938.530,27;90.706
RVBI11;FUNDO DE FUNDOS;604.022,78;0,87;1,01 %;2,92 %;1.365.872.089,15;81.798
RZAG11;INDEFINIDO;2.073.831,25;0,95;1,27 %;-0,73 %;663.114.339,24;87.526
RZAK11;PAPÉIS;1.865.646,10;0,97;1,29 %;3,37 %;776.837.947,04;45.147
RZAT11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;593.930,80;0,89;1,04 %;1,75 %;427.360.394,32;34.262
RZEO11;INDEFINIDO;3.610,00;1,01;0,00 %;0,00 %;586.225.599,21;155
RZLC11;PAPÉIS;1.395.203,80;1,01;1,23 %;-0,01 %;160.869.091,08;132
RZTR11;MISTO;3.866.612,85;1,03;1,01 %;0,56 %;1.765.815.892,73;150.513
RZZI11;MISTO;2.000.000,00;0,76;0,00 %;0,00 %;145.898.854,15;116
RZZR11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;23.820,55;0,79;0,88 %;2,96 %;980.137.401,25;532
RZZV11;MISTO;105.000,00;0,88;0,00 %;0,00 %;206.956.936,54;131
SALI11;MISTO;N/A;N/A;0,00 %;0,00 %;7.493.922,78;2
SAPI11;MISTO;279.627,05;0,93;1,19 %;0,76 %;295.803.811,35;13.124
SARE11;MISTO;348.855,00;0,95;0,57 %;-1,50 %;464.915.874,22;26.586
SCPF11;SHOPPINGS;4.058,35;0,30;0,67 %;-36,10 %;41.525.145,71;4.231
SDIL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.030.917,86;1,01;0,76 %;2,04 %;612.048.658,06;63.292
SEED11;INDEFINIDO;200,00;1,09;0,00 %;0,00 %;147.788.152,52;131
SEQR11;MISTO;49.308,70;0,55;1,05 %;3,24 %;161.951.312,30;4.434
SHOP11;SHOPPINGS;55,00;1,76;0,00 %;0,00 %;76.879.523,04;93
SHPH11;SHOPPINGS;48.119,20;0,91;0,58 %;-3,44 %;630.214.428,54;2.063
SHPP11;SHOPPINGS;150,75;0,98;0,00 %;0,00 %;444.077.970,49;127
SHSO11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;118.155.565,38;8.102
SIGR11;INDEFINIDO;100,00;10,87;0,00 %;0,00 %;181.472.797,04;10.335
SJAU11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;6.103,45;0,52;231,65 %;58,29 %;11.832.389,44;900
SMRE11;INCORPORAÇÕES;373.488,15;0,61;1,50 %;1,64 %;105.395.912,24;1.233
SNAG11;PAPÉIS;2.922.497,65;1,04;1,82 %;-2,57 %;626.251.460,36;120.451
SNCI11;PAPÉIS;1.064.035,15;0,89;1,14 %;5,84 %;414.645.157,57;36.122
SNEL11;FUNDO DE DESENVOLVIMENTO;3.135.427,20;1,04;1,17 %;-1,94 %;907.974.148,50;63.023
SNFF11;FUNDO DE FUNDOS;670.809,45;0,88;1,01 %;6,72 %;350.341.568,61;26.652
SNFZ11;MISTO;291.495,50;0,98;1,02 %;0,20 %;120.503.338,30;8.900
SNID11;INDEFINIDO;187.128,80;N/A;1,16 %;-1,58 %;N/A;0
SNLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;40.770,00;2,43;8.400,00 %;-96,77 %;1.295.190,98;9.307
SNME11;INDEFINIDO;459.370,65;0,99;1,05 %;-3,46 %;71.040.830,61;6.361
SOFF11;MISTO;62,29;1,07;0,00 %;0,00 %;188.370.050,91;304
SOLR11;IMÓVEIS COMERCIAIS - OUTROS;4.931.882,00;1,14;0,00 %;0,00 %;60.177.955,40;28
SPDE11;INDEFINIDO;2.533,30;0,75;0,00 %;0,00 %;155.046.292,89;120
SPMO11;INDEFINIDO;59.902,00;0,95;0,00 %;0,00 %;233.856.020,32;15
SPTW11;LAJES CORPORATIVAS;101.081,50;0,74;1,08 %;12,43 %;97.411.115,51;17.537
SPVJ11;SHOPPINGS;N/A;N/A;0,00 %;0,00 %;153.858.012,48;24
SPXS11;INDEFINIDO;516.542,95;0,93;1,04 %;-3,08 %;192.157.833,33;20.060
SRVD11;INDEFINIDO;233,91;17,65;2,29 %;-9,79 %;15.907.185,35;106
STRX11;FUNDO DE DESENVOLVIMENTO;142,00;0,92;0,00 %;0,00 %;246.656.783,11;111
SURE11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;111.992.758,42;1
TCPF11;MISTO;N/A;0,39;0,00 %;0,00 %;30.273.863,83;48
TELM11;INDEFINIDO;17.610,65;1,01;1,00 %;0,00 %;30.726.451,92;256
TEPP11;LAJES CORPORATIVAS;3.029.964,70;0,96;0,86 %;0,69 %;474.282.194,02;33.980
TGAR11;FUNDO DE DESENVOLVIMENTO;12.895.513,15;0,71;0,91 %;-15,86 %;2.664.453.393,19;148.957
TJKB11;INDEFINIDO;95.557,25;0,89;1,13 %;-4,82 %;336.740.617,68;527
TMPS11;FUNDO DE FUNDOS;271.468,70;0,87;0,98 %;0,92 %;95.713.383,25;1.891
TOPP11;IMÓVEIS COMERCIAIS - OUTROS;878.443,75;0,69;1,12 %;1,38 %;484.804.819,37;4.830
TORD11;MISTO;40.092,10;0,05;0,33 %;-8,63 %;212.583.174,34;46.674
TRBL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.296.496,85;0,86;0,99 %;1,95 %;637.120.739,38;45.550
TRNT11;LAJES CORPORATIVAS;74.568,69;0,60;0,06 %;0,00 %;646.759.778,10;509
TRXB11;FUNDO DE DESENVOLVIMENTO;6.791.294,45;1,76;1,71 %;3,66 %;412.632.590,41;681
TRXF11;IMÓVEIS COMERCIAIS - OUTROS;24.686.185,05;0,92;0,97 %;-2,63 %;6.315.290.426,07;217.198
TRXY11;OUTROS;121.046,00;1,03;1,16 %;-2,06 %;149.644.175,35;1.173
TSER11;LAJES CORPORATIVAS;194,00;1,00;0,00 %;0,00 %;143.810.780,96;19
TVRI11;AGÊNCIAS DE BANCOS;1.209.206,05;0,95;1,01 %;3,43 %;1.661.003.760,44;60.159
URHF11;OUTROS;10.659,50;0,78;1,42 %;5,73 %;10.605.313,89;288
URPR11;PAPÉIS;923.220,90;0,37;0,90 %;2,36 %;1.211.591.957,57;63.411
VANG11;INDEFINIDO;5.804,00;N/A;0,00 %;0,00 %;N/A;0
VCJR11;PAPÉIS;2.339.471,65;0,86;1,09 %;-0,76 %;1.392.830.610,96;27.120
VCRA11;INDEFINIDO;505.755,70;0,66;1,39 %;6,32 %;471.684.496,95;9.840
VCRI11;PAPÉIS;274.735,35;0,81;1,15 %;5,41 %;195.880.735,45;13.304
VCRR11;IMÓVEIS RESIDENCIAIS;280.248,45;0,62;0,59 %;-0,63 %;210.104.780,98;3.038
VGHF11;MISTO;3.157.563,25;0,83;0,98 %;-0,83 %;1.427.805.141,77;385.437
VGIA11;INDEFINIDO;1.981.948,45;1,04;1,40 %;3,71 %;841.622.455,70;170.892
VGII11;TECIDOS. VESTUÁRIO E CALÇADOS;145,00;1,00;0,00 %;0,00 %;37.731.178,64;8
VGIP11;PAPÉIS;2.308.276,10;0,85;0,87 %;3,44 %;1.071.856.441,19;84.239
VGIR11;PAPÉIS;6.171.343,30;0,99;1,33 %;2,30 %;1.435.670.704,49;260.186
VGRI11;MISTO;846.415,40;0,96;1,38 %;4,43 %;306.517.192,48;24.841
VIDS11;FUNDO DE DESENVOLVIMENTO;N/A;1,15;0,00 %;0,00 %;75.513.802,97;199
VIFI11;FUNDO DE FUNDOS;30,26;0,87;1,01 %;-7,57 %;64.507.809,24;5.521
VIGT11;N/A;527.080,50;N/A;0,54 %;-1,16 %;N/A;0
VILG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;3.089.443,45;0,90;0,78 %;3,17 %;1.696.405.059,06;143.586
VINO11;LAJES CORPORATIVAS;1.238.819,95;0,56;0,82 %;7,39 %;819.496.800,53;134.415
VISC11;SHOPPINGS;6.389.251,20;0,92;0,77 %;0,24 %;3.403.322.070,34;339.164
VIUR11;MISTO;453.614,55;0,75;3,38 %;-0,97 %;209.608.141,81;39.844
VJFD11;PAPÉIS;2.664,00;0,87;0,00 %;0,00 %;833.052.436,88;103
VLIQ11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;118.155.565,38;8.102
VLOL11;LAJES CORPORATIVAS;160.238,13;1,38;0,00 %;0,00 %;118.155.565,38;8.102
VOTS11;PAPÉIS;1.097,95;0,85;0,89 %;3,82 %;77.620.296,77;545
VPPR11;LAJES CORPORATIVAS;133.796,70;0,54;0,53 %;-10,74 %;303.291.670,29;32.658
VRTA11;PAPÉIS;1.479.656,30;0,94;1,06 %;-3,15 %;1.321.245.056,17;106.622
VRTM11;MISTO;389.243,60;0,78;1,24 %;-1,62 %;441.883.961,50;11.992
VSEC11;PAPÉIS;2,50;0,00;0,00 %;0,00 %;118.155.565,38;8.102
VSHO11;SHOPPINGS;18.785,60;0,70;0,88 %;1,20 %;240.062.735,01;2.943
VSLH11;PAPÉIS;148.028,45;0,21;1,17 %;5,99 %;305.365.567,56;63.720
VTBL11;OUTROS;N/A;N/A;0,00 %;0,00 %;19.105.850,77;1
VTLT11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;12.462.404,00;0,98;0,00 %;0,00 %;191.517.274,18;5.533
VTPL11;PAPÉIS;66,00;0,54;0,00 %;0,00 %;165.969.364,13;125
VVCO11;LAJES CORPORATIVAS;19.141,25;0,98;0,00 %;0,00 %;150.876.536,22;2.453
VVCR11;PAPÉIS;4.702,35;0,89;1,02 %;4,90 %;191.153.523,96;2.122
VVMR11;LAJES CORPORATIVAS;48.552,45;0,93;0,24 %;-0,01 %;252.781.460,68;542
VVPR11;MISTO;1.249.061,55;1,59;0,89 %;0,40 %;118.155.565,38;8.102
VVRI11;INDEFINIDO;1.277,92;0,99;0,00 %;0,00 %;129.030.638,73;149
VXXV11;FUNDO DE DESENVOLVIMENTO;30.357,30;1,41;0,00 %;0,00 %;246.695.794,24;11
WHGR11;INDEFINIDO;509.007,70;0,94;1,03 %;3,74 %;306.908.909,19;15.552
WPLZ11;SHOPPINGS;3.855,79;0,94;0,71 %;-5,45 %;64.675.247,66;1.523
WSEC11;INDEFINIDO;1.533,00;0,96;0,00 %;0,00 %;3.603.090,71;918
WTSP11B;MISTO;3.852,00;0,68;0,09 %;0,00 %;104.295.912,94;210
XPCA11;INDEFINIDO;1.148.795,00;0,89;1,39 %;1,89 %;441.475.753,43;93.945
XPCI11;PAPÉIS;2.744.152,70;0,93;1,02 %;3,86 %;777.897.521,06;77.302
XPCM11;LAJES CORPORATIVAS;37.549,60;0,42;0,20 %;-0,87 %;49.186.767,22;16.263
XPHT11;HOTÉIS;230.869,59;0,66;0,93 %;15,85 %;581.976.733,73;1.268
XPID11;INDEFINIDO;230.914,50;N/A;1,34 %;20,21 %;N/A;0
